,pair_of_objects,cause_directions,confounders,confidences
127,light post // boardwalk,"['z-to-xy', 'z-to-xy', 'y-to-x', 'y-to-x', 'z-to-xy']","['beach', '?', '', '', '?']","['confidence_1', 'confidence_1', 'confidence_3', 'confidence_2', 'confidence_3']"
128,room // player,"['y-to-x', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['', '?', 'Video game', '?', '?']","['confidence_1', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_3']"
129,manhole cover // manhole,"['y-to-x', 'x-is-y', 'y-to-x', 'z-to-xy', 'y-to-x']","['', '', '', 'sewer', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
130,window // car,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_2']"
131,shoes // man,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_3']"
132,picture // wall,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_3']"
133,hair // woman,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
134,water // boat,"['y-to-x', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_3']"
135,tissues // paper towel,"['z-to-xy', 'x-is-y', 'z-to-xy', 'x-is-y', 'x-is-y']","['Use and throw paper based cleaner', '', 'paper', '', '']","['confidence_3', 'confidence_3', 'confidence_1', 'confidence_1', 'confidence_3']"
136,people // man,"['x-to-y', 'x-to-y', 'y-to-x', 'x-is-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_3']"
137,hand // hair,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['Body ', 'touching', 'body', '?', 'Person']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_3']"
138,rocks // water,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['Nature', '?', 'land', '?', 'Outside']","['confidence_3', 'confidence_2', 'confidence_1', 'confidence_2', 'confidence_2']"
139,tree // water,"['z-to-xy', 'z-to-xy', 'y-to-x', 'z-to-xy', 'z-to-xy']","['Nature ', '?', '', '?', 'Outside']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_2']"
140,bean // asparagus,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['Eatables ', '?', 'meal', '?', 'Vegetables']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_3']"
141,control panel // oven door,"['x-to-y', 'x-to-y', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['', '', 'oven', '?', 'Stove']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_2']"
142,people // jacket,"['z-to-xy', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['Dress', '', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_3']"
143,writing // sign,"['x-to-y', 'x-to-y', 'y-to-x', 'x-to-y', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_1', 'confidence_3', 'confidence_2', 'confidence_2']"
144,terminal // airport,"['z-to-xy', 'x-is-y', 'y-to-x', 'y-to-x', 'y-to-x']","['vehicles', '', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_3']"
145,fries // french fries,"['x-to-y', 'x-is-y', 'x-is-y', 'x-is-y', 'x-is-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
146,meters // parking meter,"['x-to-y', 'z-to-xy', 'x-is-y', 'x-to-y', 'x-to-y']","['', '?', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_2']"
147,ground // building,"['x-to-y', 'x-to-y', 'z-to-xy', 'x-to-y', 'x-to-y']","['', '', 'Outside', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
148,face mask // shin guards,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['head', 'face', 'Athlete', 'person', 'player']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
149,window // sky,"['x-to-y', 'z-to-xy', 'x-to-y', 'z-to-xy', 'x-to-y']","['', '?', '', '?', '']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_1', 'confidence_1']"
150,strawberries // strawberry,"['y-to-x', 'x-is-y', 'x-is-y', 'x-is-y', 'x-is-y', 'z-to-xy', 'y-to-x']","['', '', '', '', '', 'shrub', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
151,head // woman,"['x-to-y', 'z-to-xy', 'y-to-x', 'y-to-x', 'y-to-x']","['', 'human', '', '', '']","['confidence_1', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
152,pole // tree,"['x-to-y', 'y-to-x', 'x-to-y', 'z-to-xy', 'z-to-xy', 'x-to-y', 'z-to-xy']","['', '', '', '?', '?', '', 'outdoors']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_1', 'confidence_2', 'confidence_2']"
153,shutter // mailbox,"['x-to-y', 'z-to-xy']","['', 'houses']","['confidence_3', 'confidence_3']"
154,cucumber // cauliflower,"['z-to-xy', 'z-to-xy']","['salad', 'salad']","['confidence_2', 'confidence_3']"
155,tarmac // airplane,"['x-to-y', 'x-to-y']","['', '']","['confidence_3', 'confidence_3']"
156,potatoes // crate,"['x-to-y', 'x-to-y']","['', '']","['confidence_2', 'confidence_2']"
157,cattle // cows,"['z-to-xy', 'z-to-xy', 'y-to-x', 'x-is-y', 'x-is-y', 'x-is-y', 'x-is-y']","['farm', 'farmer', '', '', '?', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
158,concrete // skate park,"['y-to-x', 'z-to-xy']","['', 'skateboard']","['confidence_3', 'confidence_2']"
159,person // face,"['x-to-y', 'x-to-y']","['', '']","['confidence_2', 'confidence_3']"
160,tree // grass,"['x-to-y', 'z-to-xy', 'z-to-xy', 'y-to-x', 'z-to-xy', 'y-to-x', 'z-to-xy']","['', 'sun', 'ground', '', 'sun', '', 'Outside']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_1', 'confidence_2']"
161,wall // pillow,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['Bedroom', 'room', 'bedroom', 'bedroom', 'Bedroom']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_3']"
162,jacket // woman,"['y-to-x', 'y-to-x', 'z-to-xy', 'y-to-x', 'z-to-xy']","['', '', '?', '', '?']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
163,tissue // paper towel,"['z-to-xy', 'x-is-y', 'z-to-xy', 'x-is-y', 'x-is-y']","['Paper Product ', '', '?', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
164,sled // skiers,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'y-to-x', 'z-to-xy']","['Winter sports', 'snow', '?', '', 'snow']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
165,suit // sky,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['Sky blue coloured suit ', '?', '?', '?', '?']","['confidence_3', 'confidence_1', 'confidence_2', 'confidence_3', 'confidence_3']"
166,woman // shorts,"['z-to-xy', 'x-to-y', 'z-to-xy', 'x-to-y', 'z-to-xy']","['Casual attire ', '', '?', '', '?']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_2']"
167,bed frame // beds,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'z-to-xy']","['', '', '', '', 'Sleep']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
168,"oven door // stove top,stovetop","['z-to-xy', 'y-to-x', 'z-to-xy', 'z-to-xy', 'y-to-x']","['kitchen appliances', '', '?', '?', '']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_3']"
169,bush // grass,"['z-to-xy', 'y-to-x', 'y-to-x', 'y-to-x', 'z-to-xy']","['Plants ', '', '', '', 'Greenery']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
170,office // cpu,"['y-to-x', 'z-to-xy', 'x-to-y', 'x-to-y', 'x-to-y']","['', '?', '', '', '']","['confidence_2', 'confidence_1', 'confidence_3', 'confidence_2', 'confidence_2']"
171,baseball game // umpire,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
172,black // train engine,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '?', '?', 'Colour/Train', '?']","['confidence_2', 'confidence_3', 'confidence_1', 'confidence_1', 'confidence_3']"
173,windows // building,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
174,salt // salt shaker,"['x-to-y', 'x-to-y', 'y-to-x', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
175,area rug // living room,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_2', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_3']"
176,girl // shirt,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
177,tree // floor,"['x-to-y', 'y-to-x', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['', '', 'Courtyard', 'Outdoor/Indoor', 'ground']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_1', 'confidence_3']"
178,railings // flower pot,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '?', 'Garden', 'Balcony', '?']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
179,house // sky,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'x-to-y', 'z-to-xy']","['?', 'Earth', '?', '', '?']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_3']"
180,road // tree,"['z-to-xy', 'x-to-y', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '', '?', 'Outside', 'street']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_3']"
181,fencing // netting,"['z-to-xy', 'x-to-y', 'x-is-y', 'x-is-y', 'z-to-xy']","['pole', '', '', '', 'barriers']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_1', 'confidence_3']"
182,field // sky,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'x-to-y', 'z-to-xy']","['?', 'Earth', '?', '', '?']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_3']"
183,shoe // pants,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['leg', 'person', 'wear', 'Person', 'clothing']","['confidence_2', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_3']"
184,fencing // barricade,"['y-to-x', 'z-to-xy', 'z-to-xy', 'x-is-y', 'x-is-y']","['', 'street', '?', '', '']","['confidence_2', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_3']"
185,banana slice // macaroni,"['x-is-y', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['food', 'snack/lunch', '?', 'Lunch', 'dinner']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_3']"
186,parade // ox,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'x-to-y', 'z-to-xy']","['?', 'city/farm', '?', '', 'carnival']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_1', 'confidence_2']"
187,ski poles // skiers,"['x-to-y', 'y-to-x', 'z-to-xy', 'y-to-x', 'y-to-x']","['', '', '?', '', '']","['confidence_3', 'confidence_3', 'confidence_1', 'confidence_3', 'confidence_3']"
188,ground // grass,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
189,person // jeans,"['x-to-y', 'x-to-y', 'x-to-y']","['', '', '']","['confidence_2', 'confidence_3', 'confidence_3']"
190,coffee maker // countertop,"['y-to-x', 'y-to-x', 'z-to-xy']","['', '', 'kitchen']","['confidence_2', 'confidence_3', 'confidence_3']"
191,pencil // toilet paper,"['z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'tree', '?']","['confidence_1', 'confidence_3', 'confidence_1']"
192,beans // market,"['y-to-x', 'x-to-y', 'z-to-xy']","['', '', '?']","['confidence_3', 'confidence_2', 'confidence_1']"
193,cherry // icing,"['z-to-xy', 'y-to-x', 'z-to-xy']","['?', '', 'cake']","['confidence_1', 'confidence_3', 'confidence_1']"
194,writing // face,"['z-to-xy', 'x-to-y', 'z-to-xy']","['?', '', 'newspaper']","['confidence_1', 'confidence_1', 'confidence_1']"
195,mountain // sky,"['z-to-xy', 'x-to-y', 'z-to-xy', 'x-to-y', 'x-to-y', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '', 'earth', '', '', 'Outside', 'nature', 'outdoor scene']","['confidence_1', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_3']"
196,hand // man,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_3']"
197,fans // sky,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'Ceiling', '?', 'Stadium', 'Outdoor stadium']","['confidence_2', 'confidence_3', 'confidence_1', 'confidence_2', 'confidence_2']"
198,shirt // jeans,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['man', 'person', '?', 'Person', 'clothing']","['confidence_2', 'confidence_2', 'confidence_1', 'confidence_3', 'confidence_2']"
199,hanger // hand towel,"['z-to-xy', 'x-to-y', 'x-to-y', 'x-to-y', 'z-to-xy']","['bathroom', '', '', '', 'Washroom']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_2']"
200,building // sky,"['z-to-xy', 'x-to-y', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '', '?', 'Outside', 'Outdoor']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_2']"
201,stuffed animals // teddy bears,"['x-is-y', 'x-is-y', 'x-is-y', 'x-to-y', 'x-is-y']","['', '', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_2']"
202,electronics // cpu,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
203,hamburger // french fry,"['z-to-xy', 'z-to-xy', 'x-to-y', 'x-to-y', 'z-to-xy']","['cooking', 'lunch', '', '', 'Food']","['confidence_2', 'confidence_2', 'confidence_1', 'confidence_3', 'confidence_2']"
204,skies // skis,"['y-to-x', 'x-to-y', 'y-to-x', 'z-to-xy', 'z-to-xy']","['', '', '', 'Snow', '?']","['confidence_2', 'confidence_1', 'confidence_2', 'confidence_2', 'confidence_1']"
205,toilet lid // toilet tank,"['z-to-xy', 'y-to-x', 'z-to-xy', 'y-to-x', 'z-to-xy']","['?', '', 'toilet', '', 'toilet']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_3']"
206,hat // woman,"['y-to-x', 'y-to-x', 'z-to-xy', 'y-to-x', 'y-to-x']","['', '', '?', '', '']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_2']"
207,salt // shaker,"['z-to-xy', 'x-to-y', 'z-to-xy', 'y-to-x', 'x-to-y']","['Salt Shaker ', '', '?', '', '']","['confidence_3', 'confidence_1', 'confidence_1', 'confidence_2', 'confidence_2']"
208,hand // pants,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'x-to-y', 'z-to-xy']","['Touching cloth', 'person', '?', 'Person', 'person', '', 'person']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_1', 'confidence_3']"
209,hand // glasses,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['Breaking glasses with fingers ', 'person', '?', 'Person', 'person']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_2']"
210,ivy // vines,"['z-to-xy', 'z-to-xy', 'x-is-y', 'x-is-y', 'x-is-y']","['Plants ', 'vegetation', '', '', '']","['confidence_3', 'confidence_2', 'confidence_1', 'confidence_3', 'confidence_2']"
211,trains // train tracks,"['z-to-xy', 'y-to-x', 'y-to-x', 'y-to-x', 'z-to-xy']","['Railway ', '', '', '', 'railway system']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_2']"
212,sign // hair,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['Hailfall Signs ', 'man', '?', '?', 'person']","['confidence_3', 'confidence_1', 'confidence_2', 'confidence_1', 'confidence_2']"
213,table // sky,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['Sky painted on table ', 'roof', '?', 'Patio', '?']","['confidence_3', 'confidence_1', 'confidence_2', 'confidence_2', 'confidence_1']"
214,pole // building,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['Magnetic pole of a building ', 'street', '?', 'Outside', 'Community']","['confidence_3', 'confidence_1', 'confidence_2', 'confidence_2', 'confidence_2']"
215,watch // shirt,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['person', 'person', 'person/man/woman', '?', 'Person']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
216,mousepad // monitors,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['computer', 'computer', 'Laptop/CPU', 'computer', 'Computer']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
217,drawing // woods,"['z-to-xy', 'y-to-x', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '', '?', '?', '?']","['confidence_1', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_1']"
218,police officer // policeman,"['x-is-y', 'x-is-y', 'x-is-y', 'x-is-y', 'x-is-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
219,fixtures // cabinet door,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['kitchen', '?', 'kitchen', 'kitchen', 'Kitchen']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
220,mouth // ear,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['person or an animal', 'head', 'man/woman/dog', 'body', 'Face']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
221,beverage // pasta,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['food', 'meal', 'Diner/Person Eating', '?', 'Dinner']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
222,home // garage door,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
223,engines // fuselage,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'y-to-x', 'z-to-xy']","['plane', 'vehicle', 'Aeroplane', '', 'Airplane']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
224,ball // shoe,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['player', '?', 'Athlete', '?', 'football player']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
225,tie // man,"['y-to-x', 'z-to-xy', 'y-to-x', 'y-to-x', 'y-to-x']","['', '?', '', '', '']","['confidence_3', 'confidence_1', 'confidence_3', 'confidence_3', 'confidence_3']"
226,antelope // goats,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['hill/mountain', 'nature', 'Field', 'animals', 'Pastures']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_2']"
227,women // woman,"['x-is-y', 'x-is-y', 'x-is-y', 'x-is-y', 'x-is-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
228,geese // ducks,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['lake', '?', 'Lake', 'animals', 'lake']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_3']"
229,ball // shirt,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['player', '?', 'Athlete', '?', 'basketball player']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_2']"
230,handlebar // ski pants,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'y-to-x', 'z-to-xy']","['indoor/outdoor', '?', '?', '', 'snow']","['confidence_2', 'confidence_3', 'confidence_1', 'confidence_3', 'confidence_1']"
231,room // ceiling,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
232,egg // yolk,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
233,cucumber // vegetables,"['z-to-xy', 'z-to-xy']","['plant', 'salad']","['confidence_2', 'confidence_2']"
